Primary__Hotel Name,Primary__Google Travel,Primary__Total Reviews,Primary__Rating,Primary__Hotel Address,Primary__Contact Number,Primary__Official Website Link,Primary__Date,Primary__Check In Time,Primary__Check Out Time,Rates__Site Name,Rates__Price,Reviews__name,Reviews__review,Reviews__service rate__Rooms,Reviews__service rate__Service,Reviews__service rate__Location,Tripadvisor Ratings__Location,Tripadvisor Ratings__Cleanliness,Tripadvisor Ratings__Service,Tripadvisor Ratings__Value
Comfort Suites Johnson Creek Conference Center,"₹7,172",840 reviews,4.1,"725 Paradise Ln, Johnson Creek, WI 53038, United States",+1 920-699-2800,https://www.choicehotels.com/wisconsin/johnson-creek/comfort-suites-hotels/wi127?mc=llgoxxpx,Aug 29 - 30,3:00 PM,11:00 AM,Comfort Suites Johnson Creek Conference Center,"₹6,804",Alissa Cotter,"We stayed at this hotel last weekend for a softball tournament. We had stay there last year as well. This year the service was disappointing. There is a beautiful patio area in the back but no one could use it because the outside gate key lock was broken. They would not allow access to the patio from the breakfast room. We had a grandparent of one of our players wanting to sit outside to read a book before an afternoon game and her best option was on a picnic table on the side of the building. We asked if she could sit on the patio in more comfortable chairs and the front desk person told us the only way she could get to the patio was if we hoisted her over the fence. Not very feasible for an elderly person. The previous year we stayed at the hotel, the patio was accessible and we spent a lot of time out there. This year the staff was not interested in accommodating our group using a patio that was intentionally built to allow paying guests to use. Because our group was not allowed on the patio, we asked if we could sit in the breakfast room and again, we were told we could not access that space. We will be looking for alternative hotels in that area next summer when our group of 30 needs a place to stay for a tournament.",4,1,4,3.6,4,3.9,3.7
,,,,,,,,,,Best Hotel Deals,"₹6,381",Nicholas P,Run away! The management at this place has absolutely ruined it. Many amenities out of order and unavailable including the pool for most of our stay. …,4,1,2,,,,
,,,,,,,,,,Booketta,"₹6,381",Lacey Mattsen,"Mediocre at best. And this below isn't even the half of it. We stayed in the beginning of June 2024.Nearly every single trash can that we encountered in the public areas of the hotel was very full. We did witness the one right outside in front of the lobby being changed Saturday morning. But I do remember on Saturday afternoon, the one by the conference center being very full and not attended to.Saturday morning, someone had their cats in the breakfast area. There were people in our group that are highly allergic to cats. This was all in addition to disgusting tables and messy serving area. We (2 families, not just my family) witnessed a hotel worker walk in, check to see how much food was gone and walk away. She did not replace the napkins (there were none left), she didn't care about the spilled milk on the floor. She didn't seem to care about the disgusting state of the breakfast area at all.Apparently, our block of rooms was overbooked. Our softball coaches did not have a room available to them even though they reserved one. A parent and a player got the last room. Even though their reservations were from March.And to elaborate on a few things, it was raining very hard on Saturday. The parking situation is very poor at this hotel. Our room was near the middle/lobby of the hotel. We ended up having to park way down near the conference center. I got my key card out expecting to have to buzz in but the doors at the conference center were unlocked. We got all the way up to our room on the 3rd floor - without using a key.The trash near the pool - it was on the outside of the building, near the pool equipment. It was outside of the emergency door.... In plain view of people swimming in the pool area.I do have to say, the poor woman that was working Saturday night.... Bless her heart. She was very kind even though she was clearly very irritated with the rude, rowdy and messy kids from Illinois who weren't being controlled by their annebrated parents. (She honestly should have evicted the from the hotel because they were very loud and disturbed everyone!)The workers at check in and check out were also pleasant and made the process fast and simple.Our room was large, clean and comfortable.... Which this family of 4 appreciated.",2,1,3,,,,
,,,,,,,,,,Hotels Ugogo,"₹6,381",Nicholas Parker,"Run away! The management at this place has absolutely ruined it. Many amenities out of order and unavailable. Hot tub was out of order when we arrived, I called to check to make sure it was back up before driving back this evening and was assured it was up. I found it full of sand only to be told by the front desk attendant(Miranda) that the sand was normal even after showing her these photos. Seriously, stay anywhere else. Also, no towels available at the pool and no waffles and no OJ at breakfast.",1,1,1,,,,
,,,,,,,,,,Stayforless,"₹6,381",Shelby Bowles,Was told they had a pool & hot tub. Get there and it's closed. Reassured that it would be open tomorrow. Closed. Asked for a cancellation so we could go somewhere that has an open hot tub - they said they can cancel it but the cancellation fee will be the same price as the room. Only reason I stayed here is because I wanted a hotel with a hot tub after driving 9 hours. Terrible customer service.,2,1,3,,,,
,,,,,,,,,,PrimaStay,"₹6,381",Jodi Adie,"Only thing that this hotel could have going for it is the pool. Great set up for kids, unfortunately the water is too cool and the hot tub is never hot.Hot water in the room was hit and miss, mostly miss.The wifi is completely useless unless you are on the first floor and even then it’s not great.They say your room will be cleaned after the third night, was here for six nights and never even seen a sign of housekeeping. Had to ask for clean towels and coffee.The coffee station in the lobby, I don’t think had the cream and sugars replaced all week. Basket sat empty for two days.The place was quiet all week but on the weekend the noise blows up with the kids running through the halls. Which I could over look given the pool area and being popular for families, if not for all the other problems.Price is cheap, I guess you get what you pay for.Never was a person at the desk, when needing assistance, always had to use the phone to call for assistance",,,,,,,
,,,,,,,,,,Traveluro,"₹6,803",becky m,"Hotel itself is ok, pool and hot tub are the best things about the hotel. Staff is lacking and not professional. Check in room way longer than it should have. …",2,1,3,,,,
,,,,,,,,,,MakeMyTrip.com,"₹7,190",GrandTour02104040932,"Staffing and overall customer service appears to be diminishing here. cleanliness, security, and putting customers first all get low ratings. Room card did not work in 4 of 5 exterior doors. Hotel is clearly falling into disrepair. Breakfast was good.",4,1,1,,,,
,,,,,,,,,,GoSplitty,"₹6,803",Shannon Schuster,"We had stayed here for a family vacation and booked 3 rooms for 4 nights. The hotel is older and not so kept up. The kiddy pool was really cool but the water is freezing, the floor in the kiddy pad is so slippy as it has no grit and everyone kept falling and the jacuzzi out of order. So that was really unsafe and disappointing. The room itself were okay. The customer service is seriously lacking. Housekeeping is supposed to come on your 3rd night of stay to help get trash, give clean towls and change bedding and we knew this because we called our 2nd night asking when Housekeeping should come by and the front desk agent said only on the 3rd day but they never came the 3rd day. We complained regarding this because we had no towls and the front desk agent stated that they had no clean towls to give because everything was dirty and she told us to call her back around 9pm to see if there were any towls to get and that she couldnt bring them to the room we would have to come get them from the desk. The front desk agent said Housekeeping and managers only work during the mornings and that she's only worked there for 2 months and is by herself working at night and doesn't have any authority to handle the situation. My family and I will not be using this location again.",,,,,,,
,,,,,,,,,,Holisto,"₹6,803",Jenna Lee,I stayed for three nights and requested early breakfast to go upon check in. I was told that it is up to the person in the kitchen. I went at 550 am. I asked the lady in the kitchen if I could grab some food and she opened the breakfast doors early for me on the morning of June 11 and 12. The lady was nice enough to let me grab some food because I work at 630am. On June 13 I went and asked a new lady working in the kitchen if I could grab some fruit and  yogurt or toast before heading off to work and she said no. She was rude and when I asked if I could just have some fruit she  rudely told me no. The service is extremely poor and the staff are unhelpful. This hotel needs major improvement on customer service. I have traveled in healthcare for the last nine years and stayed at many hotels and this has never been an issue. I canceled my reservation for next week and will not be staying here again.,,,,,,,
